date,target,A1,B1
4/23/21,46072,47682.84388,46997.049
4/30/21,46326,47413.45193,47884.914
5/7/21,45905,47624.89756,47430.379
5/14/21,45763,47622.80982,47434.127
5/21/21,44755,46292.33638,46072.283
5/28/21,45539,46972.62649,47595.11
6/4/21,45704,46665.56628,47348.27
6/11/21,43554,44876.56375,45615.537
6/18/21,41721,42582.03585,43030.343
6/25/21,40261,40897.27317,41952.116
7/2/21,39647,41101.18248,42123.854
7/9/21,38058,40307.96368,40495.672
7/16/21,36711,37910.38998,39231.182
7/23/21,35443,36550.75632,36660.312
7/30/21,34900,36106.97934,36311.778
8/6/21,34575,36374.44297,37406.962
8/13/21,33595,35624.37747,35354.227
8/20/21,33665,35239.35208,35824.722
8/27/21,34501,36756.98841,36555.073
9/3/21,36419,38522.38738,38103.059
9/10/21,35316,36827.49177,38934.752
9/17/21,33840,35422.083,36705.06
9/24/21,33971,35698.23799,36797.326
10/1/21,35519,36579.89326,37685.198
10/8/21,33551,36334.86508,35466.329
10/15/21,31231,32704.66431,32825.123
10/22/21,27332,29276.13235,29982.592
10/29/21,26416,28670.27388,29026.349
11/5/21,26382,28761.5334,29205.607
11/12/21,26598,28760.7423,28486.67
11/19/21,27385,29334.87944,28830.727
11/26/21,28544,30738.81326,30549.556
12/3/21,30917,33036.2677,32726.287
12/10/21,32211,33296.07593,33573.09
12/17/21,33674,35314.7281,35710.839
12/24/21,34729,36149.98584,36474.178
12/31/21,37306,38760.74683,38644.824
1/7/22,34838,36752.99005,37521.381
1/14/22,33524,34718.203,35008.887
1/21/22,31701,33732.57802,34514.79
1/28/22,30528,31951.41771,32690.862
2/4/22,27727,29155.63747,30463.744
2/11/22,25827,27995.39499,28539.155
2/18/22,23778,27366.39303,27216.347
2/25/22,22806,26050.83204,26819.46
3/4/22,22221,25378.38838,24833.844
3/11/22,24007,26436.4769,26579.577
3/18/22,25242,27586.11568,28458.853
3/25/22,24233,27300.56797,27732.322
4/1/22,25887,29279.88538,29014.891
4/8/22,26337,29555.14099,29583.324
4/15/22,26152,29224.65438,28560.932
4/22/22,27450,29921.72495,30197.255
4/29/22,28829,32061.01047,31727.611
5/6/22,28242,31520.91545,31656.142
5/13/22,25839,29695.48398,29026.461
5/20/22,24778,29159.0181,28641.484
5/27/22,25034,28671.82235,28541.799
6/3/22,23441,27192.6347,27190.037
6/10/22,22615,26182.41319,26220.16
6/17/22,22043,25924.40777,25241.604
6/24/22,21261,25370.73161,24677.975
7/1/22,21330,25167.50214,24330.309
7/8/22,21646,25702.6533,24592.203
7/15/22,22789,27190.84452,26407.309
7/22/22,23540,27521.5276,26815.029
7/29/22,24466,27772.26354,27648.204
8/5/22,25189,29218.78877,28529.773
8/12/22,25381,29437.12244,29246.433
8/19/22,25807,29742.18766,28799.433
8/26/22,25284,29544.29511,28073.947
9/2/22,24783,28859.09221,27966.974
9/9/22,24648,28665.39668,27966.88
9/16/22,24991,28493.38871,27630.772
9/23/22,25683,30040.65132,28890.63
9/30/22,25956,30528.10662,29620.925
10/7/22,25647,29791.91296,29034.932
10/14/22,26230,30108.00881,28540.011
10/21/22,26897,31075.94619,30460.601
10/28/22,28164,32658.18119,30938.156
11/4/22,27241,31960.67368,30124.517
11/11/22,25617,29757.37682,28766.653
11/18/22,24730,28825.01562,27906.778
11/25/22,24315,28365.16323,27646.917
12/2/22,23942,28305.44352,27225.573
12/9/22,24368,28926.75564,28250.058
12/16/22,25221,28685.22191,27735.734
12/23/22,25026,28471.55999,28388.241
12/30/22,25270,29018.34222,28563.878
1/6/23,27781,31516.61786,30334.543
1/13/23,31427,34198.95253,33948.506
1/20/23,35694,39531.6619,37957.183
1/27/23,38009,41209.03184,40877.209
